Month,Cylinders
01/01/2016,8392
01/02/2016,7371
01/03/2016,8906
01/04/2016,8069
01/05/2016,8671
01/06/2016,8001
01/07/2016,7941
01/08/2016,8046
01/09/2016,8175
01/10/2016,8645
01/11/2016,4521
01/12/2016,8321
01/01/2017,8267
01/02/2017,7078
01/03/2017,8790
01/04/2017,7096
01/05/2017,8669
01/06/2017,7106
01/07/2017,7692
01/08/2017,8000
01/09/2017,7956
01/10/2017,8213
01/11/2017,4500
01/12/2017,8001
01/01/2018,8390
01/02/2018,6978
01/03/2018,8705
01/04/2018,7000
01/05/2018,8567
01/06/2018,6500
01/07/2018,7795
01/08/2018,8033
01/09/2018,7763
01/10/2018,8580
01/11/2018,8450
01/12/2018,7945
